Temperatura,Siła wiatru,Kierunek wiatru,Wilgotność,Ciśnienie,id,Posiada sensor,Indeks pożaru lasu,Pali się,Jest gaszone,Stan pożaru
[0][0] 4.109700000000009, 3.1137, 274.99, 76.68, 1016.0, 0.0, false, LOW, false, false, NONE
[0][1] 3.6309000000000085, 3.0846, 272.42, 75.26, 1016.0, 1.0, false, LOW, false, false, NONE
[0][2] 3.591000000000008, 3.1719, 280.13, 72.42, 1016.0, 2.0, false, HIGH, false, false, NONE
[0][3] 4.1895000000000095, 2.6481000000000003, 233.87, 67.45, 1016.0, 3.0, false, LOW, false, false, NONE
[0][4] 4.34910000000001, 2.91, 257.0, 67.45, 1016.0, 4.0, false, VERY_HIGH, false, false, NONE
[0][5] 3.990000000000009, 2.7063, 239.01, 77.39, 1016.0, 5.0, false, LOW, false, false, NONE
[0][6] 3.6708000000000083, 2.6481000000000003, 233.87, 69.58, 1016.0, 6.0, false, HIGH, false, false, NONE
[0][7] 3.7107000000000085, 3.1137, 274.99, 77.39, 1016.0, 7.0, false, LOW, false, false, NONE
[0][8] 3.910200000000009, 2.6481000000000003, 233.87, 69.58, 1016.0, 8.0, false, LOW, false, false, NONE
[0][9] 4.3092000000000095, 2.9682, 262.14, 71.0, 1016.0, 9.0, false, MODERATE, false, false, NONE
[1][0] 4.26930000000001, 2.7645, 244.15, 76.68, 1016.0, 10.0, false, MODERATE, false, false, NONE
[1][1] 3.910200000000009, 2.7354000000000003, 241.58, 72.42, 1016.0, 11.0, false, LOW, false, false, NONE
[0][0] 4.109700000000009, 3.1137, 274.99, 76.68, 1016.0, 0.0, false, LOW, false, false, NONE
[1][2] 4.149600000000009, 2.8227, 249.29, 75.97, 1016.0, 12.0, false, MODERATE, false, false, NONE
[0][1] 3.6309000000000085, 3.0846, 272.42, 75.26, 1016.0, 1.0, false, LOW, false, false, NONE
[0][0] 4.109700000000009, 3.1137, 274.99, 76.68, 1016.0, 0.0, false, LOW, false, false, NONE
[1][3] 4.26930000000001, 3.0846, 272.42, 72.42, 1016.0, 13.0, false, MODERATE, false, false, NONE
[0][2] 3.591000000000008, 3.1719, 280.13, 72.42, 1016.0, 2.0, false, HIGH, false, false, NONE
[1][4] 3.7107000000000085, 2.7063, 239.01, 70.29, 1016.0, 14.0, false, MODERATE, false, false, NONE
[0][3] 4.1895000000000095, 2.6481000000000003, 233.87, 67.45, 1016.0, 3.0, false, LOW, false, false, NONE
[1][5] 3.990000000000009, 2.9391000000000003, 259.57, 69.58, 1016.0, 15.0, false, LOW, false, false, NONE
[1][6] 3.6708000000000083, 2.9682, 262.14, 66.74, 1016.0, 16.0, false, HIGH, false, false, NONE
[0][1] 3.6309000000000085, 3.0846, 272.42, 75.26, 1016.0, 1.0, false, LOW, false, false, NONE
[0][4] 4.34910000000001, 2.91, 257.0, 67.45, 1016.0, 4.0, false, VERY_HIGH, false, false, NONE
[1][7] 3.7905000000000086, 3.1428000000000003, 277.56, 70.29, 1016.0, 17.0, false, LOW, false, false, NONE[0][2] 3.591000000000008, 3.1719, 280.13, 72.42, 1016.0, 2.0, false, HIGH, false, false, NONE

[0][5] 3.990000000000009, 2.7063, 239.01, 77.39, 1016.0, 5.0, false, LOW, false, false, NONE
[0][3] 4.1895000000000095, 2.6481000000000003, 233.87, 67.45, 1016.0, 3.0, false, LOW, false, false, NONE[1][8] 4.3092000000000095, 2.8809, 254.43, 69.58, 1016.0, 18.0, false, MODERATE, false, false, NONE

[0][6] 3.6708000000000083, 2.6481000000000003, 233.87, 69.58, 1016.0, 6.0, false, HIGH, false, false, NONE
[0][4] 4.34910000000001, 2.91, 257.0, 67.45, 1016.0, 4.0, false, VERY_HIGH, false, false, NONE
[1][9] 4.1895000000000095, 3.0555000000000003, 269.85, 73.13, 1016.0, 19.0, false, LOW, false, false, NONE
[0][7] 3.7107000000000085, 3.1137, 274.99, 77.39, 1016.0, 7.0, false, LOW, false, false, NONE
